19:05:42 - Rimbalzo - Pos Y: 717.4458887495753, Velocità Y: -14, Piattaforma Y: 750
19:05:42 - Rimbalzo - Pos Y: 716.3867989681164, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.92930761151, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.6878748209685, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.5604630316378, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4932237638313, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4577394561477, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4390132544374, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4291308401145, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4239155746612, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.421163312627, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.419710856108, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4189443484453, Velocità Y: -14, Piattaforma Y: 750
19:05:43 - Rimbalzo - Pos Y: 715.4185398378871, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 715.418326364755, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 715.4182137081697, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 716.8552740990943, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 716.032610102675, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 716.8730738182177, Velocità Y: -14, Piattaforma Y: 750
19:05:44 - Rimbalzo - Pos Y: 716.0432845116426, Velocità Y: -14, Piattaforma Y: 750
19:05:45 - Rimbalzo - Pos Y: 715.7480240689465, Velocità Y: -14, Piattaforma Y: 750
19:05:45 - Rimbalzo - Pos Y: 714.4488223213363, Velocità Y: -14, Piattaforma Y: 750
19:05:45 - Rimbalzo - Pos Y: 712.6258493314504, Velocità Y: -14, Piattaforma Y: 750
19:05:45 - Rimbalzo - Pos Y: 711.7896225153314, Velocità Y: -14, Piattaforma Y: 750
19:05:48 - GAME OVER - Pos Y: 832.9896225153215, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 833.7896225153214, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 834.5896225153214, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 835.3896225153213, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 836.1896225153213, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 836.9896225153212, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 837.7896225153212, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 838.5896225153211, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 839.3896225153211, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 840.189622515321, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:48 - GAME OVER - Pos Y: 840.989622515321, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 841.789622515321, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 842.5896225153209, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 843.3896225153209, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 844.1896225153208, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 844.9896225153208, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 845.7896225153207, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 846.5896225153207, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 847.3896225153206, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 848.1896225153206, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 848.9896225153205, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 849.7896225153205, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 850.5896225153205, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 851.3896225153204, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 852.1896225153204, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 852.9896225153203, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 853.7896225153203, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 854.5896225153202, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 855.3896225153202, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 856.1896225153201, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 856.9896225153201, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 857.78962251532, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 858.58962251532, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - GAME OVER - Pos Y: 859.38962251532, Velocità Y: 0, Ultima piattaforma Y: 300
19:05:49 - Rimbalzo - Pos Y: 717.4458887495753, Velocità Y: -14, Piattaforma Y: 750
19:05:49 - Rimbalzo - Pos Y: 716.3867989681164, Velocità Y: -14, Piattaforma Y: 750
19:05:49 - Rimbalzo - Pos Y: 715.92930761151, Velocità Y: -14, Piattaforma Y: 750
19:05:49 - Rimbalzo - Pos Y: 715.6878748209685, Velocità Y: -14, Piattaforma Y: 750
19:05:49 - Rimbalzo - Pos Y: 715.5604630316378, Velocità Y: -14, Piattaforma Y: 750
19:05:49 - Rimbalzo - Pos Y: 715.4932237638313, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4577394561477, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4390132544374, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4291308401145, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4239155746612, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.421163312627, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.419710856108, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4189443484453, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4185398378871, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.418326364755, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.4182137081697, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.418154255694, Velocità Y: -14, Piattaforma Y: 750
19:05:50 - Rimbalzo - Pos Y: 715.418122880725, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4181063231526, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180975851931, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.418092973893, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180905403628, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180892561112, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180885783707, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180882207054, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.418088031954, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180879323437, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180878797763, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180878520348, Velocità Y: -14, Piattaforma Y: 750
19:05:51 - Rimbalzo - Pos Y: 715.4180878373948, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878296687, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878255914, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878234397, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878223042, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.418087821705, Velocità Y: -14, Piattaforma Y: 750
19:05:52 - Rimbalzo - Pos Y: 715.4180878213887, Velocità Y: -14, Piattaforma Y: 750
