19:14:11 - Generate piattaforme Mantello da 650 a -850
19:14:11 - Generate piattaforme Crosta da -970 a -2470
19:14:11 - Generate piattaforme Vulcano da -2590 a -3590
19:14:11 - Rimbalzo - Pos Y: 717.1825157324799, Velocità Y: -14, Piattaforma Y: 750
19:14:12 - Rimbalzo - Pos Y: 710.4405363948736, Velocità Y: -14, Piattaforma Y: 750
19:14:12 - Rimbalzo - Pos Y: 709.7396950274205, Velocità Y: -14, Piattaforma Y: 750
19:14:13 - Rimbalzo - Pos Y: 611.270720301688, Velocità Y: -14, Piattaforma Y: 650
19:14:13 - Rimbalzo - Pos Y: 609.7152098859747, Velocità Y: -14, Piattaforma Y: 650
19:14:14 - GAME OVER - Pos Y: 848.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 863.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 878.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 893.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 908.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 923.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 938.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 953.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 968.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 983.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 998.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1013.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1028.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1043.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1058.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1073.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1088.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1103.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1118.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1133.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1148.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1163.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1178.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1193.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1208.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1223.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1238.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1253.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1268.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:14 - GAME OVER - Pos Y: 1283.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1298.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1313.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1328.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1343.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1358.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1373.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1388.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1403.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1418.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1433.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1448.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
19:14:15 - GAME OVER - Pos Y: 1463.5152098859746, Velocità Y: 15, Ultima piattaforma Y: -3550
