07:40:50 - Creata piattaforma a x=250, y=750, livello=Mantello
07:40:50 - Creata piattaforma a x=260, y=670, livello=Mantello
07:40:50 - Creata piattaforma a x=226, y=590, livello=Mantello
07:40:50 - Creata piattaforma a x=445, y=510, livello=Mantello
07:40:50 - Creata piattaforma a x=241, y=430, livello=Mantello
07:40:50 - Creata piattaforma a x=440, y=350, livello=Mantello
07:40:50 - Creata piattaforma a x=282, y=270, livello=Mantello
07:40:50 - Creata piattaforma a x=201, y=190, livello=Mantello
07:40:50 - Creata piattaforma a x=409, y=110, livello=Mantello
07:40:50 - Creata piattaforma a x=413, y=30, livello=Mantello
07:40:50 - Creata piattaforma a x=167, y=-50, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=326, y=-130, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=264, y=-210, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=410, y=-290, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=441, y=-370, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=409, y=-450, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=388, y=-530, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=208, y=-610, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=444, y=-690, livello=Crosta Terrestre
07:40:50 - Creata piattaforma a x=406, y=-770, livello=Vulcano
07:40:50 - Creata piattaforma a x=270, y=-850, livello=Vulcano
07:40:50 - Creata piattaforma a x=417, y=-930, livello=Vulcano
07:40:50 - Creata piattaforma a x=403, y=-1010, livello=Vulcano
07:40:50 - Creata piattaforma a x=321, y=-1090, livello=Vulcano
07:40:50 - Creata piattaforma a x=450, y=-1170, livello=Vulcano
07:40:50 - Creata piattaforma a x=434, y=-1250, livello=Vulcano
07:40:50 - Creata piattaforma a x=445, y=-1330, livello=Vulcano
07:40:50 - Creata piattaforma a x=145, y=-1410, livello=Vulcano
07:40:50 - Creata piattaforma a x=95, y=-1490, livello=Vulcano
07:40:50 - Creata piattaforma a x=335, y=-1570, livello=Vulcano
07:40:50 - Creata piattaforma a x=429, y=-1650, livello=Vulcano
07:40:50 - Creata piattaforma a x=445, y=-1730, livello=Vulcano
