17:09:15 - Creata piattaforma a x=250, y=750, livello=Mantello
17:09:15 - Creata piattaforma a x=363, y=670, livello=Mantello
17:09:15 - Creata piattaforma a x=285, y=590, livello=Mantello
17:09:15 - Creata piattaforma a x=450, y=510, livello=Mantello
17:09:15 - Creata piattaforma a x=449, y=430, livello=Mantello
17:09:15 - Creata piattaforma a x=308, y=350, livello=Mantello
17:09:15 - Creata piattaforma a x=186, y=270, livello=Mantello
17:09:15 - Creata piattaforma a x=137, y=190, livello=Mantello
17:09:15 - Creata piattaforma a x=199, y=110, livello=Mantello
17:09:16 - Creata piattaforma a x=369, y=30, livello=Mantello
17:09:16 - Creata piattaforma a x=437, y=-50, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=66, y=-130, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=340, y=-210, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=54, y=-290, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=401, y=-370, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=165, y=-450, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=98, y=-530, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=438, y=-610, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=285, y=-690, livello=Crosta Terrestre
17:09:16 - Creata piattaforma a x=131, y=-770, livello=Vulcano
17:09:16 - Creata piattaforma a x=410, y=-850, livello=Vulcano
17:09:16 - Creata piattaforma a x=419, y=-930, livello=Vulcano
17:09:16 - Creata piattaforma a x=436, y=-1010, livello=Vulcano
17:09:16 - Creata piattaforma a x=88, y=-1090, livello=Vulcano
17:09:16 - Creata piattaforma a x=199, y=-1170, livello=Vulcano
17:09:16 - Creata piattaforma a x=87, y=-1250, livello=Vulcano
17:09:16 - Creata piattaforma a x=416, y=-1330, livello=Vulcano
17:09:16 - Creata piattaforma a x=430, y=-1410, livello=Vulcano
17:09:16 - Creata piattaforma a x=367, y=-1490, livello=Vulcano
17:09:16 - Creata piattaforma a x=448, y=-1570, livello=Vulcano
17:09:16 - Creata piattaforma a x=112, y=-1650, livello=Vulcano
17:09:16 - Creata piattaforma a x=59, y=-1730, livello=Vulcano
17:09:16 - Creata piattaforma a x=245, y=-1810, livello=Vulcano
17:09:16 - Creata piattaforma a x=413, y=-1890, livello=Vulcano
17:09:16 - Creata piattaforma a x=278, y=-1970, livello=Vulcano
17:09:16 - Creata piattaforma a x=99, y=-2050, livello=Vulcano
17:09:16 - Creata piattaforma a x=442, y=-2130, livello=Vulcano
17:09:16 - Creata piattaforma a x=129, y=-2210, livello=Vulcano
17:09:16 - Creata piattaforma a x=366, y=-2290, livello=Vulcano
17:09:16 - Creata piattaforma a x=384, y=-2370, livello=Vulcano
17:09:16 - Creata piattaforma a x=163, y=-2450, livello=Vulcano
17:09:16 - Creata piattaforma a x=131, y=-2530, livello=Vulcano
17:09:16 - Creata piattaforma a x=265, y=-2610, livello=Vulcano
17:09:16 - Creata piattaforma a x=447, y=-2690, livello=Vulcano
17:09:16 - Creata piattaforma a x=433, y=-2770, livello=Vulcano
17:09:16 - Creata piattaforma a x=331, y=-2850, livello=Vulcano
17:09:16 - Creata piattaforma a x=442, y=-2930, livello=Vulcano
17:09:16 - Creata piattaforma a x=167, y=-3010, livello=Vulcano
17:09:16 - Creata piattaforma a x=188, y=-3090, livello=Vulcano
17:09:16 - Creata piattaforma a x=413, y=-3170, livello=Vulcano
17:09:16 - Creata piattaforma a x=424, y=-3250, livello=Vulcano
17:09:16 - Creata piattaforma a x=400, y=-3330, livello=Vulcano
17:09:16 - Creata piattaforma a x=82, y=-3410, livello=Vulcano
17:09:16 - Creata piattaforma a x=281, y=-3490, livello=Vulcano
17:09:16 - Creata piattaforma a x=148, y=-3570, livello=Vulcano
17:09:16 - Creata piattaforma a x=72, y=-3650, livello=Vulcano
17:09:16 - Creata piattaforma a x=176, y=-3730, livello=Vulcano
17:09:16 - Creata piattaforma a x=388, y=-3810, livello=Vulcano
17:09:16 - Creata piattaforma a x=118, y=-3890, livello=Vulcano
17:09:16 - Creata piattaforma a x=404, y=-3970, livello=Vulcano
17:09:16 - Creata piattaforma a x=408, y=-4050, livello=Vulcano
17:09:16 - Creata piattaforma a x=188, y=-4130, livello=Vulcano
17:09:16 - Creata piattaforma a x=235, y=-4210, livello=Vulcano
17:09:16 - Creata piattaforma a x=150, y=-4290, livello=Vulcano
17:09:16 - Creata piattaforma a x=414, y=-4370, livello=Vulcano
17:09:16 - Creata piattaforma a x=76, y=-4450, livello=Vulcano
17:09:16 - Generate 66 piattaforme, 10 power-ups, 18 collectibles, 9 nemici
